Number;neighbourhood_group;neighbourhood;latitude;longitude
45;Sants-Montjuic;Hostafrancs;41.377961737068524;2.1449910542948025
45;Sants-Montjuic;Hostafrancs;41.373398201425566;2.141928832223213
45;Sants-Montjuic;Hostafrancs;41.37542880912478;2.141164597883438
45;Sants-Montjuic;Hostafrancs;41.375320451792575;2.143761063498527
45;Sants-Montjuic;Hostafrancs;41.377082832110204;2.145874753532154
45;Sants-Montjuic;Hostafrancs;41.37430314998948;2.1433834951694233
45;Sants-Montjuic;Hostafrancs;41.37485639152009;2.1438495464312366
45;Sants-Montjuic;Hostafrancs;41.37353777250494;2.14628478077295
45;Sants-Montjuic;Hostafrancs;41.372715562618225;2.1435231731702937
45;Sants-Montjuic;Hostafrancs;41.37293460951484;2.1429390886509156
45;Sants-Montjuic;Hostafrancs;41.372545991582186;2.1456684398675927
45;Sants-Montjuic;Hostafrancs;41.374558901929525;2.1420500129022177
46;Sants-Montjuic;la Bordeta;41.36936247476118;2.131875183030885
46;Sants-Montjuic;la Bordeta;41.370412350358876;2.1380496171402448
46;Sants-Montjuic;la Bordeta;41.36799268676157;2.1353484844571473
46;Sants-Montjuic;la Bordeta;41.36663379130699;2.132436541658227
46;Sants-Montjuic;la Bordeta;41.37053832452801;2.134512479025486
46;Sants-Montjuic;la Bordeta;41.3694196456776;2.137249827535746
46;Sants-Montjuic;la Bordeta;41.36960470397691;2.141676489275876
46;Sants-Montjuic;la Bordeta;41.36949570858841;2.1348560317403065
46;Sants-Montjuic;la Bordeta;41.37120279600505;2.1375757742258354
46;Sants-Montjuic;la Bordeta;41.36863472000464;2.131722348097709
46;Sants-Montjuic;la Bordeta;41.368139001812;2.134188780087314
46;Sants-Montjuic;la Bordeta;41.369733556624496;2.1411712567722128
46;Sants-Montjuic;la Bordeta;41.36973692778773;2.1385963055016504
46;Sants-Montjuic;la Bordeta;41.36977954884981;2.1331563204584283
46;Sants-Montjuic;la Bordeta;41.36621615068521;2.1338516803281764
46;Sants-Montjuic;la Bordeta;41.370262772309836;2.1332437410479757
46;Sants-Montjuic;la Bordeta;41.368059929692954;2.1395354724271543
46;Sants-Montjuic;la Bordeta;41.36999677334048;2.141020287213379
46;Sants-Montjuic;la Bordeta;41.36809173772423;2.1350714263801387
